b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
adv-s297106432-v600,cp127h-v1,w,cp127h-v1,1,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,b,adv-s297106432-v600,cp127h-v1,True,6.5,-6.5,148.5,155.0,,19,0,0,399,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6_cp127h-v1/297A1C1830C1A0DF-L3.sgfs,1
adv-s297106432-v600,cp127h-v1,w,cp127h-v1,1,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,b,adv-s297106432-v600,cp127h-v1,True,6.5,-6.5,168.5,175.0,,19,0,0,411,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6_cp127h-v1/5BFA069234AC02AD-L5.sgfs,1
cp127h-v1,adv-s297106432-v600,b,cp127h-v1,1,0,1,MCTS,w,adv-s297106432-v600,600,297106432,0,1,EMCTS1,w,adv-s297106432-v600,cp127h-v1,True,6.5,6.5,129.5,123.0,,19,0,0,376,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6_cp127h-v1/2AD22FFB48D77743-L1.sgfs,1
cp127h-v1,adv-s297106432-v600,b,cp127h-v1,1,0,1,MCTS,w,adv-s297106432-v600,600,297106432,0,1,EMCTS1,w,adv-s297106432-v600,cp127h-v1,True,6.5,6.5,143.5,137.0,,19,0,0,368,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6_cp127h-v1/7D35DB5EE6227647-L3.sgfs,1
cp127h-v1,adv-s297106432-v600,b,cp127h-v1,1,0,1,MCTS,w,adv-s297106432-v600,600,297106432,0,1,EMCTS1,w,adv-s297106432-v600,cp127h-v1,True,6.5,6.5,163.5,157.0,,19,0,0,362,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6_cp127h-v1/F9CDEA018E9F29EB-L1.sgfs,1
