b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
KataGo,victim Leela Zero,w,victim Leela Zero,1,0,,,b,KataGo,,0,0,,,b,KataGo,victim Leela Zero,True,6.5,-6.5,354.5,361.0,,,,,625,,,,False,False,0,False,,False,,False,False,public/sgfs/attack/leela/game-23.sgf,1
victim Leela Zero,KataGo,b,victim Leela Zero,1,0,,,w,KataGo,,0,0,,,w,KataGo,victim Leela Zero,True,6.5,6.5,367.5,361.0,,,,,778,,,,False,False,0,False,,False,,False,False,public/sgfs/attack/leela/game-16.sgf,1
KataGo,victim Leela Zero,w,victim Leela Zero,1,0,,,b,KataGo,,0,0,,,w,victim Leela Zero,KataGo,False,6.5,-6.5,-41.5,-35.0,,,,,330,,,,False,False,0,False,,False,,False,False,public/sgfs/attack/leela/game-5.sgf,1
KataGo,victim Leela Zero,w,victim Leela Zero,1,0,,,b,KataGo,,0,0,,,w,victim Leela Zero,KataGo,False,6.5,-6.5,-22.5,-16.0,,,,,226,,,,False,False,0,False,,False,,False,False,public/sgfs/attack/leela/game-1.sgf,1
KataGo,victim Leela Zero,w,victim Leela Zero,1,0,,,b,KataGo,,0,0,,,w,victim Leela Zero,KataGo,False,6.5,-6.5,-21.5,-15.0,,,,,335,,,,False,False,0,False,,False,,False,False,public/sgfs/attack/leela/game-3.sgf,1
victim Leela Zero,KataGo,b,victim Leela Zero,1,0,,,w,KataGo,,0,0,,,b,victim Leela Zero,KataGo,False,6.5,6.5,-52.5,-59.0,,,,,303,,,,False,False,0,False,,False,,False,False,public/sgfs/attack/leela/game-4.sgf,1
victim Leela Zero,KataGo,b,victim Leela Zero,1,0,,,w,KataGo,,0,0,,,b,victim Leela Zero,KataGo,False,6.5,6.5,-46.5,-53.0,,,,,235,,,,False,False,0,False,,False,,False,False,public/sgfs/attack/leela/game-2.sgf,1
victim Leela Zero,KataGo,b,victim Leela Zero,1,0,,,w,KataGo,,0,0,,,b,victim Leela Zero,KataGo,False,6.5,6.5,-29.5,-36.0,,,,,238,,,,False,False,0,False,,False,,False,False,public/sgfs/attack/leela/game-0.sgf,1
