b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
adv-s545993728-v600-AMCTS-S,cp127h-v1,w,cp127h-v1,1,0,1,MCTS,b,adv-s545993728-v600-AMCTS-S,600,545993728,0,1,AMCTS,b,adv-s545993728-v600-AMCTS-S,cp127h-v1,True,6.5,-6.5,116.5,123.0,,19,0,0,375,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/training_sample_games10_cp127h-v1/063F3CC213A35519-L1.sgfs,1
adv-s545993728-v600-AMCTS-S,cp127h-v1,w,cp127h-v1,1,0,1,MCTS,b,adv-s545993728-v600-AMCTS-S,600,545993728,0,1,AMCTS,b,adv-s545993728-v600-AMCTS-S,cp127h-v1,True,6.5,-6.5,136.5,143.0,,19,0,0,361,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/training_sample_games10_cp127h-v1/DEAD0B5C46928C75-L5.sgfs,1
cp127h-v1,adv-s545993728-v600-AMCTS-S,b,cp127h-v1,1,0,1,MCTS,w,adv-s545993728-v600-AMCTS-S,600,545993728,0,1,AMCTS,w,adv-s545993728-v600-AMCTS-S,cp127h-v1,True,6.5,6.5,129.5,123.0,,19,0,0,372,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/training_sample_games10_cp127h-v1/1D20AD4A72A24110-L2.sgfs,1
cp127h-v1,adv-s545993728-v600-AMCTS-S,b,cp127h-v1,1,0,1,MCTS,w,adv-s545993728-v600-AMCTS-S,600,545993728,0,1,AMCTS,w,adv-s545993728-v600-AMCTS-S,cp127h-v1,True,6.5,6.5,143.5,137.0,,19,0,0,396,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/training_sample_games10_cp127h-v1/CA3B08241E88ED64-L4.sgfs,1
cp127h-v1,adv-s545993728-v600-AMCTS-S,b,cp127h-v1,1,0,1,MCTS,w,adv-s545993728-v600-AMCTS-S,600,545993728,0,1,AMCTS,w,adv-s545993728-v600-AMCTS-S,cp127h-v1,True,6.5,6.5,149.5,143.0,,19,0,0,384,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/training_sample_games10_cp127h-v1/1529D9FAFB020AA6-L11.sgfs,1
