b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,sgf_path,sgf_line
anonymized,adv-Latest-s34090496,b,anonymized,1,0,,,w,adv-Latest-s34090496,-1,0,0,,,b,anonymized,adv-Latest-s34090496,False,7.5,7.5,-253.5,-261.0,19,,,473,,,,False,False,0,False,,False,,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/amateur_vs_adv/tony-black.sgfs,1
adv-Latest-s34090496,anonymized,w,anonymized,1,0,,,b,adv-Latest-s34090496,-1,0,0,,,w,anonymized,adv-Latest-s34090496,False,7.5,-7.5,-314.5,-307.0,19,,,428,,,,False,False,0,False,,False,,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/amateur_vs_adv/tony-white.sgfs,1
