b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
adv-s147937792-v600,cp127h-v1,w,cp127h-v1,1,0,1,MCTS,b,adv-s147937792-v600,600,147937792,0,1,EMCTS1,b,adv-s147937792-v600,cp127h-v1,True,6.5,-6.5,106.5,113.0,,19,0,0,439,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3/3F2F5FD46158D385-L1.sgfs,1
cp39h-v1,adv-s147937792-v600,b,cp39h-v1,1,0,1,MCTS,w,adv-s147937792-v600,600,147937792,0,1,EMCTS1,w,adv-s147937792-v600,cp39h-v1,True,6.5,6.5,249.5,243.0,,19,0,0,518,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3/2F6C6A8A795CB0D6-L1.sgfs,1
adv-s147937792-v600,cp505h-v2048,w,cp505h-v2048,2048,0,1,MCTS,b,adv-s147937792-v600,600,147937792,0,1,EMCTS1,w,cp505h-v2048,adv-s147937792-v600,False,6.5,-6.5,-293.5,-287.0,,19,0,0,454,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3/C8868AC13F4A8ADD-L2.sgfs,1
adv-s147937792-v600,cp505h-v2048,w,cp505h-v2048,2048,0,1,MCTS,b,adv-s147937792-v600,600,147937792,0,1,EMCTS1,w,cp505h-v2048,adv-s147937792-v600,False,6.5,-6.5,-263.5,-257.0,,19,0,0,428,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3/3ED74812C37A2230-L1.sgfs,1
adv-s147937792-v600,cp505h-v1,w,cp505h-v1,1,0,1,MCTS,b,adv-s147937792-v600,600,147937792,0,1,EMCTS1,w,cp505h-v1,adv-s147937792-v600,False,6.5,-6.5,-231.5,-225.0,,19,0,0,408,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3/08CD5D22EE7CF883-L5.sgfs,1
adv-s147937792-v600,cp505h-v1,w,cp505h-v1,1,0,1,MCTS,b,adv-s147937792-v600,600,147937792,0,1,EMCTS1,w,cp505h-v1,adv-s147937792-v600,False,6.5,-6.5,-167.5,-161.0,,19,0,0,387,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3/F3AE7F1E41484BBA-L1.sgfs,1
adv-s147937792-v600,cp505h-v1,w,cp505h-v1,1,0,1,MCTS,b,adv-s147937792-v600,600,147937792,0,1,EMCTS1,w,cp505h-v1,adv-s147937792-v600,False,6.5,-6.5,-153.5,-147.0,,19,0,0,377,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3/B6D77E11E3527717-L5.sgfs,1
cp505h-v1,adv-s147937792-v600,b,cp505h-v1,1,0,1,MCTS,w,adv-s147937792-v600,600,147937792,0,1,EMCTS1,b,cp505h-v1,adv-s147937792-v600,False,6.5,6.5,-296.5,-303.0,,19,0,0,443,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3/94A48D151AF88C9E-L3.sgfs,1
cp505h-v2048,adv-s147937792-v600,b,cp505h-v2048,2048,0,1,MCTS,w,adv-s147937792-v600,600,147937792,0,1,EMCTS1,b,cp505h-v2048,adv-s147937792-v600,False,6.5,6.5,-280.5,-287.0,,19,0,0,469,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3/C983570A998FBF70-L3.sgfs,1
cp127h-v1,adv-s147937792-v600,b,cp127h-v1,1,0,1,MCTS,w,adv-s147937792-v600,600,147937792,0,1,EMCTS1,b,cp127h-v1,adv-s147937792-v600,False,6.5,6.5,-240.5,-247.0,,19,0,0,421,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3/0DDE9CAC99D4BCDD-L3.sgfs,1
