b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
r0-v600,h0-v16,w,h0-v16,16,0,1,MCTS,b,r0-v600,600,0,0,1,AMCTS,b,r0-v600,h0-v16,True,6.5,-6.5,108.5,115.0,,19,0,0,304,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v0-vs-a0/E0F9037BDE204A4F-L1.sgfs,1
r0-v600,h0-v16,w,h0-v16,16,0,1,MCTS,b,r0-v600,600,0,0,1,AMCTS,b,r0-v600,h0-v16,True,6.5,-6.5,108.5,115.0,,19,0,0,272,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v0-vs-a0/4EFC9AA2D9C7BBF3-L2.sgfs,1
r0-v600,h0-v16,w,h0-v16,16,0,1,MCTS,b,r0-v600,600,0,0,1,AMCTS,b,r0-v600,h0-v16,True,6.5,-6.5,110.5,117.0,,19,0,0,280,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v0-vs-a0/2B4D01662058256D-L2.sgfs,1
r0-v600,h0-v16,w,h0-v16,16,0,1,MCTS,b,r0-v600,600,0,0,1,AMCTS,b,r0-v600,h0-v16,True,6.5,-6.5,114.5,121.0,,19,0,0,272,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v0-vs-a0/D9C5B54D86CC00F5-L1.sgfs,1
r0-v600,h0-v16,w,h0-v16,16,0,1,MCTS,b,r0-v600,600,0,0,1,AMCTS,b,r0-v600,h0-v16,True,6.5,-6.5,116.5,123.0,,19,0,0,289,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v0-vs-a0/06E507C58720C382-L2.sgfs,1
r0-v600,h0-v16,w,h0-v16,16,0,1,MCTS,b,r0-v600,600,0,0,1,AMCTS,b,r0-v600,h0-v16,True,6.5,-6.5,124.5,131.0,,19,0,0,305,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v0-vs-a0/89ADADC5A4A79AE1-L1.sgfs,1
r0-v600,h0-v16,w,h0-v16,16,0,1,MCTS,b,r0-v600,600,0,0,1,AMCTS,b,r0-v600,h0-v16,True,6.5,-6.5,136.5,143.0,,19,0,0,351,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v0-vs-a0/C2559FD2B335D75C-L2.sgfs,1
h0-v16,r0-v600,b,h0-v16,16,0,1,MCTS,w,r0-v600,600,0,0,1,AMCTS,w,r0-v600,h0-v16,True,6.5,6.5,117.5,111.0,,19,0,0,311,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v0-vs-a0/120525E2C90EF923-L1.sgfs,1
h0-v16,r0-v600,b,h0-v16,16,0,1,MCTS,w,r0-v600,600,0,0,1,AMCTS,w,r0-v600,h0-v16,True,6.5,6.5,125.5,119.0,,19,0,0,305,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v0-vs-a0/36FC2C0BA2BE872F-L1.sgfs,1
h0-v16,r0-v600,b,h0-v16,16,0,1,MCTS,w,r0-v600,600,0,0,1,AMCTS,w,r0-v600,h0-v16,True,6.5,6.5,127.5,121.0,,19,0,0,308,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v0-vs-a0/99675C0351BC533D-L2.sgfs,1
