b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
adv-s147937792-v600,cp127h-v1,w,cp127h-v1,1,0,1,MCTS,b,adv-s147937792-v600,600,147937792,0,1,EMCTS1,b,adv-s147937792-v600,cp127h-v1,True,6.5,-6.5,54.5,61.0,,19,0,0,423,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3_cp127h-v1/16040D7E5E857AD4-L3.sgfs,1
adv-s147937792-v600,cp127h-v1,w,cp127h-v1,1,0,1,MCTS,b,adv-s147937792-v600,600,147937792,0,1,EMCTS1,b,adv-s147937792-v600,cp127h-v1,True,6.5,-6.5,180.5,187.0,,19,0,0,613,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3_cp127h-v1/82CA81A07B38E8D4-L1.sgfs,1
cp127h-v1,adv-s147937792-v600,b,cp127h-v1,1,0,1,MCTS,w,adv-s147937792-v600,600,147937792,0,1,EMCTS1,w,adv-s147937792-v600,cp127h-v1,True,6.5,6.5,367.5,361.0,,19,0,0,884,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3_cp127h-v1/D31737368127DC73-L1.sgfs,1
cp127h-v1,adv-s147937792-v600,b,cp127h-v1,1,0,1,MCTS,w,adv-s147937792-v600,600,147937792,0,1,EMCTS1,b,cp127h-v1,adv-s147937792-v600,False,6.5,6.5,-164.5,-171.0,,19,0,0,392,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3_cp127h-v1/AA205E5C1FA4D5DE-L2.sgfs,1
cp127h-v1,adv-s147937792-v600,b,cp127h-v1,1,0,1,MCTS,w,adv-s147937792-v600,600,147937792,0,1,EMCTS1,b,cp127h-v1,adv-s147937792-v600,False,6.5,6.5,-160.5,-167.0,,19,0,0,412,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games3_cp127h-v1/7BD301CDC4E0CE9B-L4.sgfs,1
