b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
adv-s297106432-v600,cp505h-v1,w,cp505h-v1,1,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,b,adv-s297106432-v600,cp505h-v1,True,6.5,-6.5,138.5,145.0,,19,0,0,393,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6_cp505h-v1/22BB89C1A3313051-L2.sgfs,1
adv-s297106432-v600,cp505h-v1,w,cp505h-v1,1,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,b,adv-s297106432-v600,cp505h-v1,True,6.5,-6.5,138.5,145.0,,19,0,0,415,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6_cp505h-v1/22BB89C1A3313051-L1.sgfs,1
cp505h-v1,adv-s297106432-v600,b,cp505h-v1,1,0,1,MCTS,w,adv-s297106432-v600,600,297106432,0,1,EMCTS1,w,adv-s297106432-v600,cp505h-v1,True,6.5,6.5,121.5,115.0,,19,0,0,328,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6_cp505h-v1/07935967907C5526-L1.sgfs,1
cp505h-v1,adv-s297106432-v600,b,cp505h-v1,1,0,1,MCTS,w,adv-s297106432-v600,600,297106432,0,1,EMCTS1,w,adv-s297106432-v600,cp505h-v1,True,6.5,6.5,145.5,139.0,,19,0,0,396,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6_cp505h-v1/FAFB57420E108493-L3.sgfs,1
cp505h-v1,adv-s297106432-v600,b,cp505h-v1,1,0,1,MCTS,w,adv-s297106432-v600,600,297106432,0,1,EMCTS1,w,adv-s297106432-v600,cp505h-v1,True,6.5,6.5,157.5,151.0,,19,0,0,364,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6_cp505h-v1/05277D68B3E1E410-L3.sgfs,1
